fin_year,month,state_code,state_name,district_code,district_name,Approved_Labour_Budget,Average_Wage_rate_per_day_per_person,Average_days_of_employment_provided_per_Household,Differently_abled_persons_worked,Material_and_skilled_Wages,Number_of_Completed_Works,Number_of_GPs_with_NIL_exp,Number_of_Ongoing_Works,Persondays_of_Central_Liability_so_far,SC_persondays,SC_workers_against_active_workers,ST_persondays,ST_workers_against_active_workers,Total_Adm_Expenditure,Total_Exp,Total_Households_Worked,Total_Individuals_Worked,Total_No_of_Active_Job_Cards,Total_No_of_Active_Workers,Total_No_of_HHs_completed_100_Days_of_Wage_Employment,Total_No_of_JobCards_issued,Total_No_of_Workers,Total_No_of_Works_Takenup,Wages,Women_Persondays,percent_of_Category_B_Works,percent_of_Expenditure_on_Agriculture_Allied_Works,percent_of_NRM_Expenditure,percentage_payments_gererated_within_15_days,Remarks
2024-2025,July,17,MADHYA PRADESH,1715,SIDHI,1995561,230.255729449091,33,196,752.5467086,3145,0,15366,1763365,229701,31196,551278,61105,327.91124,5140.70689216896,53221,74617,129421,208920,73,155014,243174,18511,4060.24894359996,808479,65,17.79,45.02,99.87,NA
2024-2025,July,17,MADHYA PRADESH,1720,DEWAS,1191530,239.964265060067,34,204,280.4014426,1825,2,6962,973651,133423,36185,178534,43263,372.94363,2989.759539,27847,37958,98110,196691,69,161485,325451,8787,2336.414466,309406,45,27.28,47.24,99.65,NA
2024-2025,July,17,MADHYA PRADESH,1725,KHANDWA,1313940,242.980038194311,26,643,291.2316654,1649,0,11805,1743977,152140,26694,587724,113832,347.46296,4876.210606,65053,115392,138467,339973,149,193189,456631,13454,4237.515981,803734,51,19.45,62.97,99.83,NA
2024-2025,July,17,MADHYA PRADESH,1734,NARSINGHPUR,745995,222.778354525323,34,75,198.428325,2520,1,9145,843951,135431,26913,154416,29206,388.45488,2467.023356,24217,35321,81502,151760,35,141816,250569,11665,1880.140151,297927,53,33.41,42.69,99.93,NA
2024-2025,July,17,MADHYA PRADESH,1735,MANDLA,4068619,218.176648279004,22,2197,706.9733611,6958,0,19668,2436960,161067,32498,1464198,265140,429.54947,6453.40047903601,106881,152464,214880,455762,187,239623,505953,26626,5316.87764790001,1368110,73,33.09,47.81,99.96,NA
2024-2025,July,17,MADHYA PRADESH,1745,DINDORI,4748981,213.357246160103,22,1261,1172.047215,4572,0,14066,2989404,96563,14323,1679689,184657,323.88256,7874.03982643795,130488,181667,192869,356085,255,200589,367334,18638,6378.11005099995,1603688,61,18.21,64.84,99.92,NA
2024-2025,July,17,MADHYA PRADESH,1703,GWALIOR,722921,241.917311618116,36,132,364.4813525,1184,15,10303,709702,110765,14885,84437,7170,244.14427,2325.517621,19447,23147,49018,78861,5,103787,202828,11487,1716.891999,238761,47,28.7,36.1,99.79,NA
2024-2025,July,17,MADHYA PRADESH,1707,TIKAMGARH,1127082,246.828929983828,38,84,364.1255609,2040,2,11633,1106273,158426,24418,82413,15305,316.78692,3411.514289,28951,41234,85225,152236,12,125347,216827,13673,2730.601809,405538,61,20.91,56.19,99.84,NA
2024-2025,July,17,MADHYA PRADESH,1728,BHOPAL,681162,246.866539359322,42,102,845.8844569,619,4,5228,728290,90399,10822,20064,3352,191.35741,2835.14618643701,17098,22280,41420,67623,23,67543,111109,5847,1797.90431950001,266262,56,23.81,37.18,99.9,NA
2024-2025,July,17,MADHYA PRADESH,1745,DINDORI,4748981,213.523224999479,23,1269,1669.304512,4711,0,13951,3027647,97907,14324,1700531,184661,324.96256,8458.99658843799,131225,182876,192874,356093,271,200640,367397,18662,6464.72951599998,1624399,61,18.19,64.75,99.94,NA
